제목,리뷰,평점,날짜
매치스틱 맨,니콜라스 케이지 최고의 연기가 아닐까 ,7,22.04.20
비버리 힐스 캅 2,1편은 밋밋했는데 2탄은 좋아진듯 ,6,22.04.20
신비한 동물들과 덤블도어의 비밀,평점 왜 그래 그냥 이 영화는 에디 레드메인 나오는 것만으로 끝났음 ,10,22.04.20
앵커,각종홍보에서  이혜영님을 꽁꽁 감춘이유가 있었네요. ㅋㅋ  감독님의 섬세함이 좋았습니다. 배우분들은 두말할것 없구요.  천만가즈아~~~ ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,기대를 워낙 안해서 그런가 볼만은함 ,6,22.04.20
더 배트맨,캣우먼이랑 오토바이로 앞서나가면서 꽁냥꽁냥하는 장면 왜 집어넣었나 싶다  다크나이트랑 너무 비교되더라 ,2,22.04.20
비버리 힐스 캅,에디머피아니였으면 이영화는 시리즈가시작을안했을듯 ,4,22.04.20
신비한 동물들과 덤블도어의 비밀,그린델왈드는 원래 섹시했다. 저 눈깔이면 진짜.. 킹정.. ,6,22.04.20
더티 해리,투박한게 오히려 장점인영화 ,6,22.04.20
신비한 동물들과 덤블도어의 비밀,그래도 배우들은 멋있음 ,7,22.04.20
약속의 네버랜드,초반에 오글거림만 버티면 이후는 볼만하다. 하나메 미나비 보고 영화 보러갔는데 이자벨라를 연기한 배우에게 눈길이 갔다. 괜찮은 연기력에 12부작인 애니를 112분 영화로 잘 요약했다. 실사영화는 너무 애니를 따라가려다 안 좋게 되는 경우가 많은데 이 정도면 괜찮게 만들었다. 2부 나오면 볼 의향이 있다. ,7,22.04.20
승리호,재미있지만 시간이 짧다. 스페이스 오페라로 발전하길. ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,말할가치가없음 추억이 다 사라졌다 ,1,22.04.20
이상한 나라의 수학자,믿고 볼수있어 안정감이 더함 연기력 진짜 ,8,22.04.20
1987,이거 왜 이제봤지.... 진짜.... 최고 ,10,22.04.20
엄마와 나,정말 멋진 영화입니다. 더 많은 분들이 관람을 하시고 코로나로 얼어붙은 마음 녹이셨으면 좋겠네요. ,10,22.04.20
앵커,메***에서 강심장시사회라고 다녀왔는데 첨에 좀 겁 먹었었는데 뭐 그렇게 무섭거나 하진 않았음 ,6,22.04.20
모비우스,액션 연출이 꼭 박쥐들이 보는 세상을 연출하며 주파의 흐름 바람의 흐름을 보여주는 액션을 연출하여 모비우스만의 특별한 액션신들로 눈의 즐거움을 선사해준다. 스토리 짜임새는 현실적으로 느낄수있는 (억지스러운 외계등등 현실에도 있을법한 내용을 현실감 있게 표현한 부분) 모비우스의 탄생을 보여주는 흐름이 지루하지않게 시간이 지나갔다 안타까운것은 악당역을 맡은 배우의 연기력은 흠잡을수 없었지만 허무하게 죽어버리는 모습이 안타까웠다 ,10,22.04.20
선생 김봉두,앞으로 살날이 지나온 길보다 짧은 시점에서 다시 보니 개봉 당시 느끼지 못했던 감정들을 깨우네요...웃기면서도 훈훈한 스토리에 자연스런 연기들...도시의 요즘 학생들은 느끼기 어려운 추억들...나이가 좀 들거나 시골에서 학창시절을 보낸  사람들에게는 명작으로 꼽는데 주저함이 없을 것이라는 생각이 듭니다. ,9,22.04.20
야차,완전 재밌는데?? 이거 왜 평점이 이래?? ㅡㅡ 완전 몰입하면서 봤는데 ,10,22.04.20
앵커,몰입도 최고~! 배우님들의 신들린 연기에 소름! 스토리도 짱짱! 너무 재밌게 잘 봤습니다. ,10,22.04.20
언더 씨즈,아늬 진품명품 브금이 언더씨즈 가 원조였음? ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,이걸 146분씩이나 하다니 해리포터 시리즈 중 가장 재미없었음 ㅠㅠ ,1,22.04.20
야차,킬링타임용으로 재밌게 봣음 왜이렇게 평점이 낮지?? ,10,22.04.20
선생 김봉두,,10,22.04.20
세자매,다들 연기파 배우들 아니랄까봐 아.... 오랜만에 찡하게 잘봤습니다 ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,진짜 공부하기 싫은데억지로 시켜서 5등급 성적표 받은느낌이건 진짜 개 역작쓰레기 입니다.해리포터랑은 제발 비교하지마시구요.여러분 인생 낭비하지마세요 이런 쓰레기보면서 ,2,22.04.20
더 배트맨,핵노잼 빵형 우주영화급 지루 졸림 뽀뽀는 맥락없고.. 폭망 화려함 제로 단순 퇴보함 감독 에휴 캐스팅 그지 돈아깝 ,1,22.04.20
드래곤 퀘스트 유어 스토리,뭐 넘어가고 결말이야기만하자면 굳이 너도알고 나도아는 내용을 굳이 초치면서 말하는 듯한 느낌이다 저게 극의 완성도에 기여를 하나 싶은 의문이 든다 그냥 어디 덕후들 생각나서 잘난척을 하는거같은데 그닥 ,6,22.04.20
로스트 시티,방금 보고 나왔는데 진짜 딱 팝콘무비임 배우들 케미도 좋고 브래드 피트도 웃겼음 ㅋㅋㅋ 마지막에 쿠키 하나 있음 ,8,22.04.20
앵커,"오늘 아침에 보고왔습니다. 뭐랄까요. 재미와 긴장감은 있기만 뭔가 살짝 아쉬운느낌..?미스터리이긴 하지만 열린 결말아니고 답있는 결말도 저한테는 좀 아쉬웠네요.영상미와 스토리는 괜찮았습니다. 긴장감도 어느정도 유지하고 있구요.아쉬움,슬픔, 욕심이 스스로에게 장애로 되어가는 모습이 뭔가 주변에 쉽게 볼수있는 사회를 본 것 같습니다. ",7,22.04.20
"안녕, 티라노: 영원히, 함께",,10,22.04.20
신비한 동물들과 덤블도어의 비밀,저는 17일날에 보러 갔는데 일단은 영화 퀄리티는 좋습니다.. 그치만 이번 시리즈는 확실히 덤블도어 라는 마법사 얘기를 담은거는 맞는데.. 스토리가 앞뒤가 뒤죽박죽이고 이번 시리즈에 조니뎁 배우분이 아니고 다른 배우분이 하닌까 몰입감이 좀 별로였어요.. 그치만 재밌게 보고 후기 남깁니다.. ,10,22.04.20
로스트 시티,정글에서 살아남기 영화 버전 나름 볼만합니다빵형 사랑합니다 ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,불면증있으신분들보세요 치료됩니다 ,1,22.04.20
로스트 시티,괜찮은 내용과 재치있는 위트 ,10,22.04.20
태극기 휘날리며,이게 20년전 영화라니 세번 네번 봐도 울듯 ,10,22.04.20
앵커,"요근래나온 한국영화 중에서 제일 재밌게 봄. 초반 설정이 조금 현실성이 빠지긴하는데, 극후반의 요소로 개연성 확보가 되었음. 각종 상징적인 매개체들도 적재적소에 잘 배치하였고, 감독이 정신의학이나 심리학에 신경쓴 부분도 많이 보여서 좋았음. 그리고 다양하게 해석가능한 메시지도 있었고, 사회적 병폐까지 잡아낸 것까지 성공했다고 생각함. 개인적으로 두시간과 돈 만원이 절대 아깝지 않은 영화였다는 소회를 밝힘. 매우 추천 ",10,22.04.20
야차,볼만하네요  재밌음!! ,10,22.04.20
로스트 시티,재밌어요 그냥 킬링 타임용입니당 ,10,22.04.20
나이트메어 앨리,,9,22.04.20
태어나길 잘했어,강진아 배우님 보고 싶어서 보았습니다. 어릴적 아픔을 어루만지는 이야기가 짠하고 따뜻했습니다. 영화는 좀 졸렸습니다. 연출이 좀 루즈했고 강진아 배우님 말고는 연기가 어색했어요. 의미있는 이야기였지만 기술적인 성장도 있으면 좋겠네요... ,6,22.04.20
신비한 동물들과 덤블도어의 비밀,전편보다 재밌었고 특히 전투씬이 인상적이었음. ,8,22.04.20
콘스탄틴,이걸 왜 봄? 쓰레기 영화 ,2,22.04.20
앵커,"진짜 재밌게 봄! 연출, 연기, 내용 모두 좋았음. 근데 좀 공포 강도가 높아서 무서운 영화 잘 못 보시는 분들은 마음 단단히 먹어야 할듯! ",10,22.04.20
앵커,보다가 잠들었습니다 z z Z ,1,22.04.20
앵커,넓은영화관에서 혼자 관람하니 겁나 재밌음@~@ 심장이 콩딱콩딱하네 ,10,22.04.20
해적: 도깨비 깃발,한효주.채수빈같은 악녀들의 노예가 되고 싶당~ ,5,22.04.20
야차,좌파영화도 불편한데목적이 불투명하니까 긴장감도 없고 긴장감이 없으니 몰입도도 떨어지고 넷플릭스로 오징어 지옥 뭐 기타등등 해외에서도 성공을 많이 해서 그런가이걸 해외에서 한국에서 만들었다고 볼꺼 생각하면 너무 창피함 ,1,22.04.20
언니,갈수록 통쾌함보다 보면서 계속 성질나는 영화네..교훈도 없고 피해자들은 당하고 도망만 다녀야되는겨? ,1,22.04.20
신비한 동물들과 덤블도어의 비밀,스토리가 흥미롭지 않고 좀 지루... 해리포터 의리로 봤습니다~ 마법 액션씬은 놀랍고 좋았어요!! 해리포터 세계관 못잃어....4편도 제작해주세요 ,6,22.04.20
더 배트맨,배트맨 외 남성 캐릭터 사용이 너무 아쉬웠어요~ 죽어나가는 남성 너무 많고 감독이 남성 혐오자인듯~ 여성 캐릭터는 아니카 한명 밖에 안죽었더라구요. 와중에 흑인 여성 시장 당선! 피씨 만세! 감독님 체고! ,6,22.04.20
야차,평점이 생각보다 낮네요.. 저는 재밌게 봤어요:) ,10,22.04.20
앵커,그토록 원하던 것에 처절하고 눈물겹게 잠식될 때 ,8,22.04.20
언덕길의 아폴론,카오루와 센타로의 우정이 감동적이었다. 서로의 아픔을 공감하고 음악으로 이어질 수 있다는 게 멋있다! ,8,22.04.20
앵커,흠쪼매 머가 좀그렇다하고해랴하나 ,2,22.04.20
더 배트맨,"배트맨 리부트 좀 제발 그만, 어벤져스 흥행공식을 보고서도 이런 짓은 범죄임. ",2,22.04.20
당신은 안개꽃,1988년 국딩때 광주기독병원에서 우뢰매 데일리누나를 실제로 만난영화 ,10,22.04.20
더 배트맨,난 솔직히 너무 꿀잼이었음잠 4시간 자고 가서 조조로 7시꺼 보는데 ㅋㅋ졸리긴했어도 계속 몰입해서 봄. 너무 잘 봤던 영화 ,10,22.04.20
야차,"당최, 어떻게 이렇게 허접하게 만들수 있을지.배우들의 연기도 너무 긴장감이 없고, 일본정보원의 아지트 액션씬은 너무 유치하고, 클리셰 범벅인 영화. 이엘이 이렇게 매력이 없어 보이기도 힘들었고 양동근은 연기 하지 말아야... 끝까지 보기 힘들었던 영화 ",5,22.04.20
B컷,이걸 돈주고 본사람은 없겠지 ,1,22.04.20
문폴,후반부는 볼만했는데 의미도 없는 중국배우 출연과 어정쩡한 신파는 평점 까먹기 딱좋네 ,7,22.04.20
야차,"보는데..너무 현실성이 없어서..집중이 안됨.. 중국 심양이 무슨 무법도시도 아니고.. 총에 사람이 죽어도.. 너무 잘돌아 다니고.. 연기는 다 좋은데.. 스토니,연출이 너무 급하게 만든 거 같음.. 보는데..재미가 없어서.. 그냥 끌까하다..꾹 참고 다 본 내가 좀 끈기있는 놈이라고 칭찬했음~ ",1,22.04.20
신비한 동물들과 덤블도어의 비밀,4d로 봐도 유튜브가 조금 더 재밌었음 ,1,22.04.20
모비우스,,10,22.04.20
정글히어로,아이들은 재미있어 하네요 ,7,22.04.20
더 배트맨,게임하는 듯한 시점과 전개는 좋았으나 올드한 연출은 지루했다 ,6,22.04.20
베티블루 37.2,프랑스작가지망생의 성생활을 들여다보다.. 영상미 좋고 베아트리스 달은 관능적이고 온도는 뜨끈하다. ,7,22.04.20
에코 플래닛 3D : 지구 구출 특급 대작전,태국 애니는 처음인데 그런데로 무난 ,6,22.04.20
그랜 토리노,10점 만점에 10점 !!!! ,10,22.04.20
스파이더맨: 노 웨이 홈,마블 믿고 있었다구!!! 그동안 소니가 손만대면 망한 스파이더맨 영화들을 이렇게 살려주다니 ㄹㅇ 연기는 말할필요없고 스토리와 연출이 끝내준다. 와.... 다음 작이 너무 기대됩니다. ,10,22.04.20
극장판 귀멸의 칼날: 무한열차편,운좋게 더빙 시사회 당첨쓰!!! 진심.. 미쳤다... 성우분들 존경한다..어느 하나 빼놓을 것 없이 완벽했다! 댓츠 갓벽.. 진짜 존경합니다들ㅠㅠ ,10,22.04.20
해적: 도깨비 깃발,한효주배우님 연기 언제나 짱!!!   재미있게 잘 봤어요~ ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,해리 포터 세계관의 연장이 끝나지 않았으면 ,8,22.04.20
에스코바르,힘의 논리로 돈을 정복한 짐승의 인간적인 면모를 보다. ,8,22.04.20
야차,나만 재밌게 봤나보네 난 잼났음 ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,너무 컴컴해서 ㅠㅠ 눈이 아팠음. 마지막 10분만 재밌었음 ,4,22.04.20
신비한 동물들과 덤블도어의 비밀,팬심으로 보기엔 적당하지만 단독으로 보기엔 좀 애매한 것 같네요몇몇 액션씬은 좋았습니다 ,7,22.04.20
신비한 동물들과 덤블도어의 비밀,한 20분은 줄였어도 되지 않을까... ,7,22.04.20
B컷,와....이게 9.35라니 ㅎㅎ 완전코메디16분30초 44분15초64분35초 65분55초그리고 나비문신 이것만 기억남 ,1,22.04.20
로스트 시티,인생 최악의 영화. 어떻게 개봉을 했는지 의문이네요. ,1,22.04.20
패러렐 마더스,현재에서 미래로 나아가기 위한 토대는 과거 ,8,22.04.20
더 배트맨,이것이 DC comics 의 진정한 배트맨 ,10,22.04.20
앵커,노짱 그립읍니다ㅠㅠㅠㅠ ,10,22.04.20
더 배트맨,지루해서 죽는줄 알았다... ,1,22.04.20
돈 룩 업,,10,22.04.20
세자매,"문소리 배우님, 뭔 연기를 이렇게 잘하냐.. ",10,22.04.20
버닝,,2,22.04.20
야차,반일이고 뭐 정치색이고 그딴거 다 떠나서 그냥 개연성이 없음. 뭔 애들이 다 기습은 하면서 총은 쏘지도 않고 총구만 겨누다가 역관광 당함ㅋㅋㅋ ,1,22.04.20
더 배트맨,"지나치게 다크한 분위기, 역대 최약체 배트맨, 스토리는 탐정물 ",7,22.04.20
더 배트맨,역시나 망작..3시간내내 지루해 미치는줄...캣우먼은 왜 흑인이냐..007 본드걸도 그렇고 요즘 대놓고 흑인쿼터제가 아주... ,1,22.04.20
판도라,쓰레기 정권의 양념 감상포인트 없음 그나마 OST ,1,22.04.20
케이블 가이,이영화의 교훈1. 사람은 고쳐쓰는게 아니다.2. 친구를 잘 사귀자.3. 공짜 좋아하지 말자. ,6,22.04.20
몬스타엑스 : 더 드리밍,,10,22.04.20
듄,듄. .2변 개봉할때. .다시봐야할듯. . .재개봉해주세요. . ,10,22.04.20
마지막 게임,올해 본 최악의 영화 시간낭비 ,1,22.04.20
수퍼 소닉2,소래곤볼을 찾아 나선 수퍼 소이아인 ㅋㅋ ,7,22.04.20
타이타닉,세상의 왕이라더니. 원나잇녀의 희생물에 불과했네. ,4,22.04.20
신비한 동물들과 덤블도어의 비밀,이거 돈주고 볼바에 닥터스트레인지2 봅니다 ,6,22.04.20
앵커,시사회로 먼저봤음 천우희 연기 오랜만에 봤는데 역시 잘하고 이혜영 배우님 연기가 진짜 차분하면서 소름돋음 하균신은 말이 필요없었고 마지막 반전이 진짜 생각치도 못해서 소름돋았었음 ,10,22.04.20
야차,세스코는 언제 중국진출함? ,4,22.04.20
고양이들의 아파트,고양이는 신의 완벽한 선물 사랑입니다~♡그들에게 눈을 마주쳐주면 내가 행복해미소가 절로 나올겁니다아낌없이  주고픈 사랑스런냥이... ,10,22.04.20
앰뷸런스,스토리는 말도안되는데 기대안하고 봐서 그런지 중간중간 웃기고  아무생각없이 보기 좋아여  여주인공 넘 이쁨 ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,휴대폰을 자주 확인하게 됨 -> 벌써 끝일까봐 뭔가 뻔했고 엥 이게 끝이라고 싶었음. 어릴 때 향수를 떠올리며 본다면 괜찮을듯 ,4,22.04.20
극장판 주술회전 0,미쳤어여 또 보러갈거에여 진짜영화관에서 보는 그 웅장함과 감동을 평생 잊지 않도록 하겠습니다 ,10,22.04.20
태어나길 잘했어,"눈물도 흘리고 감동받던 중마지막 끝나기 전에 어떤 계기로, 무슨 상황때문에 태어나길 잘했다라는 메세지를 춘희가 받은건지조금 이해가 가지 않았습니다.급전개 부분을 조금 더 잘 풀어내었으면더 진한 감동으로 다가왔을 것 같은데 아쉬웠지만 좋았습니다. ",8,22.04.20
모비우스,아니 왜이렇게 평점낮지? 이번해는 이 영화가 제일 재밌던데; 물론 스파이더맨4를 이길수는 없고... 신비한동물사전3보다 10배는 재밌고 배트맨보다 50배는 재밌던 영화. 전개 빠르고. 제가 제일 중요하게 여기는 개연성도 좋고. 왜 평점이 낮지? ,10,22.04.20
성난황소,내 여자를 지킬 수 있을 정도의 힘을 키우자..!! ,9,22.04.20
코다,다른 말이 필요없다. 2021년 최고의 영화!! ,10,22.04.20
블랙라이트,"220420[6]어디서 계속 보던 스토리/음모/전개 , 그렇다고 테이큰 처럼 액션이 특출난것도 아니고, 요즘 니암표 영화는 계속 이런식이더라. 이렇게 좀더 가면, 개인적으로는 믿고 거르는 쪽으로 갈것 같음. 더 찾아보니, 감독도 20년도에 같이 했던 사람이네. ",6,22.04.20
화이트데이: 부서진 결계,차라리 언차티드가 더 재밌네 ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,이전 신비한동물사전이 100배재밌음 ,1,22.04.20
신비한 동물들과 덤블도어의 비밀,이제 신동사 시리즈는 손절 할 때가 된 것 같다... ,4,22.04.20
신비한 동물들과 덤블도어의 비밀,너무유치하고 단순하고 재미없네요 ,2,22.04.20
야차,이거 보다가 용의자 봤는데 용의자 명작느낌.. 좋은 재료 다 갖다놓고 미국식 국밥 만든느낌..보면서 재미없다고 느낌 ,4,22.04.20
북클럽,제인폰다 80대 를 훨씬 넘었는데도 날씬하니까 젊어보이고 어렸을때부터 나의 최고로 좋아했던 여배우중 하나였던 캔디스버겐이 더 젊은 나이인데도 뚱뚱하니까 나이들어보이고 그 사람을 완전 끌리게 하던 매력이 온데간데없이 사라져버렸더라.2005년 레드카펫에서 봤던 카트린느드느브의 뚱뚱하고 볼품없어진 몸매보고 완전 실망했듯이ㅜㅜ ,10,22.04.20
테이큰 3,액션이 리암도 늙어서 화끈하지는않네 ㅜㅜ ,8,22.04.20
더블 타겟,몇번을봐도그냥재밌다 ,10,22.04.20
더블 타겟,몇번을봐도그냥재밌다 ,10,22.04.20
미 비포 유,2번째 보는날 다시보니 내인생을 다시설계하게 됐다 이런 명화를 보고나면 내삶을 돌아보게된다 ,10,22.04.20
루이스 웨인: 사랑을 그린 고양이 화가,그림같이 아름다웠던 영화. 평범한 줄거리이나 루이스 웨인이란 사람을 이해하기엔 머누마 좋았던 영화. 배우들의 영기 연출 영상미 너무 좋았다. ,9,22.04.20
더 배트맨,이제는 배트맨을 배트맨 자체로만 봐서는 안 된다인물과 스토리와 배경을 얼마나 잘 버무리는냐로 판단해야 한다정말 잘 버무려진 비빔밥을 먹은 기분이다 작은 화면으로 본게 안타깝다. ,9,22.04.20
더 배트맨,이게 원래 DC 라는애들 슈퍼히어로물 영화볼거면 딴거보라는 애들상업영화는 장르불문하고 일단 재미가 있어야되는데...  액션영화고 만화원작이고 배트맨이고 블록버스턴데...배트맨이라는 캐릭터 제외하면 이게 진짜 잘만든 영화라고 생각함?  지루해서 화가날정돈데각자의 캐릭터가 열심히 소리는 지르는데 왜지르는지 도저히 알수가없음 역대이렇게 느리고 무능한 베트맨이잇엇나 싶다   결국 어떤살인도 어떤 테러도 못막고 3시간을 음악에 나래이션에 과거회상에 다햇는데 차시동음말고 뭐하나 남는게없음 ,2,22.04.20
죽지않는 인간들의 밤,아무 생각 없이 보기 좋은 영화. 피식 포인트가 몇군데 있다 ,6,22.04.20
야차,이개뭐야? 억지로 만들거면 하지마 ,1,22.04.20
모비우스,재밌음.. 다음 영화가 너무 기대되는 영화ㅇㅇ ,10,22.04.20
에덴의 동쪽,부자유친 서로가 인정해줘야지 교감은 상호작용 소통이라고 해야하나 ,10,22.04.20
원더풀 라이프,명작의 가치는 시간이 지날수록 빛을 발한다 ,9,22.04.20
수퍼 소닉2,수퍼소닉1에서는 재미없었지만 요번에는 완전 악당하고 싸우는 것이 재미있다 ,10,22.04.20
블랙 크랩,우리 솔직하자. 이게 재밌냐? 난 북유럽 영화를 좋아하는 편이고 주인공도 좋아하는 배우라 믿고 봤는데 도대체 이 영화에 별을 더 줄 수가 없다. ,2,22.04.20
더 배트맨,"다크나이트는 철학적이었지만, 더 배트맨은 기교만 내세운다. 그럼에도 볼거리가 충분하므로 별점은 높게 준다. 10점짜리 조커를 능가하진 못했지만 8점 정도가 적당. 3시간이 잘 흘러갔다. 명작까진 아니고 수작 정도? ",8,22.04.20
봉오동 전투,유해진 나이스 연기!! ,10,22.04.20
야차,쓰레기 반일 영화 역시 한국 영호ㅓ으ㅏ 한계 ,1,22.04.20
스파이더맨: 노 웨이 홈,총집합인데.... ,6,22.04.20
더 배트맨,"배트맨이라 쓰고 하드보일드 누아르라 읽는, 역대 배트맨 영화들 중 내 원픽 ",9,22.04.20
야차,한명이 아직도 감빵생활찍고있음 ,2,22.04.20
신비한 동물들과 덤블도어의 비밀,역시 jk롤링작가!! ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,"극적인 전개나 반전만 없을 뿐이지, 화려한 영상미와 배우들의 연기력, 잔잔한 감동과 잔잔한 웃음 포인트로 지루함 없이 즐겁게 관람했어요. CGV 스타디움 관람 추천!! ",10,22.04.20
더 배트맨,너무 재밌게 봤어요!! ,10,22.04.20
신비한 동물들과 덤블도어의 비밀,주말에 아이맥스로 보고왔는데 영화가 너무 형편없어서 안보시길 추천드립니다 ,4,22.04.20
커밍 홈 인 더 다크,"89년생인데 이거 스트리밍으로 보다가 잠깐 일시정지하고 그선생이름 그초등학교 홈페이지 들어가봄.. 그년이 아직있나해서,, 없다면 초1인지 초2인지도 가물가물하지만 초딩들 8명을 시켜서 가구를 고층에서 저층으로 옮기다 제일 선봉에서 옮기던 내가 친구랑 떠들고 웃다가 가구가 갸우뚱했을때 전원 멈추라고하고 내 머리통을 사정없이 후려치고 후려치던 그년. 그게 초1에서 2사이에 일이고 정확히 초3때 먼곳으로 전학갔을때 어떻게 알앗는지 집으로 편지를보내옴, 지도 생에 첨으로 제자한테 손지검을 했던거였을까?내용은 별거없음 그냥 내제자였는데 멀리 전학가게되서 섭섭하다 잘지내고 어쩌고 저쩌고.. 당시 10살쯤 이었지만 용서가안되서 편지를 찢고 웃기고있네 하고 끝났지만 이나이가 되서 다시 생각해보니 참 찢어죽여도 시원찮을년. 너는 알아볼수도없게 늙었겠지만 만약에라도 기회가되서 나만나면 얼마 남지않은 인생 다살았다고 보면 된다 ",10,22.04.20
매그니피센트 7,마지막 전투를 위한 영화. ,10,22.04.20
협상,,2,22.04.20
바닐라 스카이,"21년 전 개봉했을 당시에 보고, 그 후로도 몇 차례 더 보고, 오늘은 또 아직 안 본 아내를 위해 다시 봤다. 처음 봤던 20살 때와는 다르게 느껴지는 것들이 많다. 그리고 그동안 살면서 일어났던 기적 같은 일들이나 악몽 같은 일들을 돌이켜 볼 때, 그리고 예전과는 많이 달라진 지금의 삶이 가끔 낯설다고 느껴질 때, 이 영화가 생각난다. 중학교 때 자전거 타고 가다가 버스랑 박아서 일주일 동안 사경을 헤매다가 깨어났었는데, 그 사건의 전후가 기억에서 송두리 째 사라진 것도, 당시 처음 갔던 병원의 의사가 아버지에게 `아들 죽었습니다'라고 말했다는 것도, 또 생각지도 못했던 외국인 아내와 지금 행복하게 살고 있는 것도 모두 이 영화처럼 아주 길게 이어지는 호접몽이 아닐까라는 생각이 든다. 그래서인지 개인적으로 참 와닿는 게 많고 가깝게 느껴지는 영화이다. ",9,22.04.20
야수,결말 최악 입니다 ㅜ~~ ,1,22.04.20
기억의 밤,한국에도 이런  영화가 와우~ 스토리 탄탄하고 연기좋고 재미있고 굿 ,10,22.04.20
뜨거운 피,직이네예 ㅎ연기좋아요 ,9,22.04.20
미스트,잘봤는데 아들이 꼭  괴물로부터 지켜달랬는데 총으로 아들 쏘고  아빠 혼자 살은거 그 과정이 너무 짧아 허무하네요  괴물과 싸우는게 나올지 알았더니.  결말은 다르지만 전체  전개가  어느 좀비 영화랑 비슷한 느낌 ,10,22.04.20
더 배트맨,역대 최악의 배트맨이다   매력없는 주인공 형편없는 각본  벤 애플랙은 걍 꺼저라  dc 좀 살아나나했더니 다시 엉망이구만  안되는 애들은 이유가 있어 마블은 디즈니가 말아먹고 있고 요새 영화들 먼 90년대보다 재미없냐 ㅋ ,2,22.04.20
더 배트맨, 인생작정말 재미있는 영화 꼭보세요 추천 ,10,22.04.20
미스트,다 좋은데 결말이 ㅈㅁ이다. 보고 후회함 ,1,22.04.20
셰터드,이 영화는 초반부터 무슨 내용인지 다 알고보는 느낌 눈치 못 챘으면 진짜 둔한거고 억지 과장 짜집기 ㅋㅋ개판임 암걸리는 진따호구 모지리 할배ㅋㅋ 1점?여주 미모에 줬다치자 ,1,22.04.20
야차,무지막지하게  재미없음 ,3,22.04.20
코다,솔직히 클리셰 범벅인데 또 보다보면 눈물남.. 근데 상식적으로 오디션이 너무 허술한거 아닙니까 ㅋㅋㅋ ,8,22.04.20
미스터 고,주인공부터 짱깨ㄴ 소녀라도 거부감 쩌네 애시키 짜증낼때 짱깨스럽다 진짜 ,1,22.04.20
마틸다,"오, 너무나 사랑스런 마틸다! ",8,22.04.20
더 배트맨,맷리브스가 이를갈고 칼을갈고 정신을 갈아 만든 수작! Dc는 방향을 확실히 잡아라! 어설픈 마블 따라잡기 하지말고! 리들러 아캄어사일럼 에서 대면씬 ... 방파제 무너지는씬! 그리고 리들러와 조커 대화씬! 더 설명할 필요없겠지? ,10,22.04.20
"안녕, 나의 소울메이트",중국영화에 이런 감성이 있었다니...먼훗날우리부터 소울메이트까지 둘다 너무 흥미로웠음 +주동우 최고....☆ ,8,22.04.20
작전,재밌게 잘만들었네유 ㅎㅎ ,8,22.04.20
안테벨룸,신안섬 염전노예 미국판. 그놈의 인종차별 드립 이젠 지겹다 ㅡㅡ. 흑인들도 황인종 차별하면서 차별 당하는 건 싫은갑지?ㅋ ,6,22.04.20
듄,영상미 만족.나머지는 그저 평타로... ,7,22.04.20
매트릭스,Sensational. ,10,22.04.20
너의 이름은.,보고 나서 여운이 너무 남았습니다. 어찌 이리 표현과 감정을 잘 전달했을까 감탄만 나옵니다. 영화 OST는 정말 신의 한 수.. 만들어 줘서 감사합니다. ,10,22.04.20
